city_name,population_total,population_men,population_women,sex_ratio,area,population_density
Nagano_City,372760,181284,191476,94.67714,834.81,446.5
Matsumoto_City,241145,118271,122874,96.25389,978.47,246.5
Ueda_City,154055,75365,78690,95.77456,552.04,279.1
Okaya_City,47790,23213,24577,94.4501,85.1,561.6
Iida_City,98164,47280,50884,92.91722,658.66,149
Suwa_City,48729,23809,24920,95.54173,109.17,446.4
Suzaka_City,49559,24324,25235,96.38993,149.67,331.1
Komoro_City,40991,19972,21019,95.01879,98.55,415.9
Ina_City,66125,32437,33688,96.28651,667.93,99
Komagane_City,32202,15729,16473,95.48352,165.86,194.2
Nakano_City,42338,20552,21786,94.33581,112.18,377.4
Oomachi_City,26029,12594,13435,93.74023,565.15,46.1
Iiyama_City,19539,9498,10041,94.59217,202.43,96.5
Chino_City,56400,28241,28159,100.2912,266.59,211.6
Shioziri_City,67241,33620,33621,99.99703,289.98,231.9
Saku_City,98199,48035,50164,95.75592,423.51,231.9
Chikuma_City,58852,28404,30448,93.28692,119.79,491.3
Tomi_City,30122,14776,15346,96.28568,112.37,268.1
Azumino_City,94222,45398,48824,92.98296,331.78,284
